orange, blanc, skin, shortBart, lisaDress, homerBeard, homerPants, homerShoes, personnage 
0.024877,0.481818,0.120554,0.000000,0.001018,0.009589,0.169824,0.041549,Homer
0.000000,0.584900,0.298066,0.000000,0.000000,0.049660,0.000000,0.012977,Homer
0.000000,0.715885,0.167062,0.000000,0.000000,0.041840,0.000000,0.014129,Homer
0.000000,0.731699,0.076134,0.000000,0.000000,0.010854,0.082029,0.037115,Homer
0.000000,0.385668,0.310899,0.000000,0.000319,0.006603,0.000000,0.011108,Homer
0.000000,0.558654,0.058994,0.000000,0.000000,0.018627,0.087965,0.088138,Homer
0.000000,0.707239,0.069682,0.000000,0.000000,0.009423,0.097409,0.039040,Homer
0.000000,0.719884,0.165189,0.000000,0.000004,0.038564,0.000015,0.015041,Homer
0.000000,0.702441,0.096943,0.000000,0.000519,0.007528,0.100547,0.040327,Homer
0.000000,0.569678,0.071975,0.000000,0.000000,0.020952,0.154609,0.053319,Homer
0.005822,0.402343,0.057772,0.000426,0.000019,0.006375,0.034665,0.039980,Homer
0.018744,0.563896,0.156135,0.018096,0.000000,0.010322,0.112888,0.033393,Homer
0.000000,0.602198,0.108372,0.000000,0.000207,0.013752,0.149537,0.056099,Homer
0.000000,0.452580,0.072179,0.000000,0.006078,0.021075,0.322075,0.042212,Homer
0.000000,0.573759,0.189700,0.000000,0.000817,0.004809,0.000000,0.053041,Homer
0.000000,0.492220,0.224366,0.000000,0.002096,0.014057,0.000849,0.013559,Homer
0.000000,0.674153,0.128171,0.000000,0.000000,0.014295,0.000000,0.018917,Homer
0.000000,0.569208,0.117369,0.000000,0.000000,0.016236,0.138504,0.054540,Homer
0.025075,0.631971,0.111666,0.010293,0.000000,0.010207,0.099941,0.031051,Homer
0.000000,0.626296,0.089050,0.000000,0.000000,0.013654,0.128852,0.054227,Homer
0.000000,0.572994,0.076912,0.000000,0.000067,0.014810,0.106523,0.028046,Homer
0.000000,0.588116,0.105405,0.000000,0.000000,0.025803,0.134354,0.059065,Homer
0.000000,0.652891,0.086220,0.000000,0.000000,0.012086,0.133904,0.050955,Homer
0.000000,0.747055,0.057665,0.000000,0.000000,0.003087,0.095157,0.036826,Homer
0.012403,0.592998,0.116110,0.007891,0.000460,0.008411,0.135651,0.012387,Homer
0.000000,0.537960,0.072639,0.000000,0.001223,0.020783,0.002736,0.001555,Homer
0.000000,0.515796,0.187422,0.000000,0.000000,0.003125,0.003753,0.000889,Homer
0.000000,0.533365,0.167501,0.000000,0.000507,0.016996,0.039514,0.004677,Homer
0.000000,0.532115,0.343926,0.000000,0.000000,0.012281,0.000468,0.001579,Homer
0.000000,0.578656,0.087339,0.000000,0.000000,0.003693,0.169744,0.026579,Homer
0.000000,0.582832,0.252014,0.000000,0.000000,0.076890,0.000000,0.011143,Homer
0.000000,0.642687,0.074430,0.000000,0.000629,0.006333,0.127712,0.004333,Homer
0.000000,0.223719,0.085936,0.000000,0.000000,0.000000,0.059330,0.027986,Homer
0.000000,0.634027,0.105251,0.000000,0.000000,0.000000,0.000248,0.023084,Homer
0.000000,0.642851,0.091984,0.000000,0.000000,0.007628,0.102342,0.026065,Homer
0.000000,0.661586,0.064839,0.000000,0.000000,0.000282,0.114513,0.012847,Homer
0.000000,0.454803,0.152574,0.000000,0.000000,0.010066,0.000000,0.014213,Homer
0.000000,0.559552,0.091789,0.000000,0.000000,0.018951,0.003799,0.006081,Homer
0.000000,0.533483,0.308325,0.000000,0.000000,0.000000,0.000000,0.003470,Homer
0.000000,0.698266,0.056050,0.000000,0.000000,0.008148,0.073996,0.039048,Homer
0.005256,0.651535,0.069840,0.000000,0.011032,0.009461,0.085052,0.021570,Homer
0.000000,0.411998,0.075245,0.000000,0.000000,0.005988,0.000000,0.013980,Homer
0.000000,0.687440,0.080583,0.000000,0.000000,0.010083,0.089928,0.012624,Homer
0.000000,0.742509,0.058171,0.000000,0.000000,0.010041,0.000000,0.025711,Homer
0.000000,0.465968,0.274353,0.000000,0.000000,0.055640,0.000000,0.003178,Homer
0.000000,0.578344,0.278037,0.000000,0.000000,0.046263,0.000000,0.026938,Homer
0.000000,0.557881,0.052328,0.000000,0.000000,0.013673,0.205221,0.005955,Homer
0.000000,0.613999,0.114462,0.000000,0.000000,0.025407,0.000071,0.039002,Homer
0.000000,0.581558,0.228829,0.000000,0.000000,0.046914,0.000000,0.007646,Homer
0.000000,0.577208,0.000000,0.000000,0.000000,0.000160,0.000140,0.028820,Homer
0.000000,0.569678,0.071975,0.000000,0.000000,0.020952,0.154609,0.053319,Homer
0.000000,0.451555,0.244228,0.000000,0.001242,0.025533,0.000528,0.016249,Homer
0.000000,0.337778,0.113272,0.000000,0.000000,0.006319,0.000000,0.003843,Homer
0.000000,0.453511,0.000000,0.000000,0.000000,0.005798,0.120292,0.002266,Homer
0.000000,0.542951,0.136620,0.000000,0.000000,0.023595,0.000000,0.030196,Homer
0.000000,0.723322,0.120291,0.000000,0.001073,0.023856,0.022839,0.018405,Homer
0.000000,0.540781,0.139467,0.000000,0.000000,0.012046,0.000000,0.014432,Homer
0.000000,0.579306,0.098025,0.000000,0.000000,0.138025,0.000000,0.022687,Homer
0.000000,0.539036,0.274803,0.000000,0.000000,0.097374,0.000000,0.017352,Homer
0.000000,0.636364,0.197513,0.000000,0.000000,0.034182,0.053091,0.021220,Homer
0.000000,0.640092,0.123734,0.000000,0.000000,0.014434,0.112468,0.042850,Homer
0.000000,0.720752,0.175327,0.000000,0.001562,0.044720,0.000000,0.016282,Homer
0.068861,0.603634,0.106023,0.034952,0.000444,0.000000,0.000000,0.015628,Bart
0.036564,0.663399,0.124532,0.042052,0.009391,0.000000,0.000000,0.020956,Bart
0.053806,0.632869,0.133902,0.041394,0.012925,0.010272,0.000000,0.027756,Bart
0.096551,0.462141,0.363946,0.000000,0.000000,0.000000,0.000000,0.009323,Bart
0.000000,0.704178,0.074196,0.000000,0.000000,0.000000,0.038470,0.022305,Bart
0.000000,0.695249,0.082303,0.070097,0.000000,0.000000,0.000000,0.010968,Bart
0.043490,0.579816,0.144503,0.045506,0.000000,0.000010,0.000618,0.014733,Bart
0.058296,0.594746,0.131485,0.027649,0.000000,0.000000,0.000000,0.006486,Bart
0.078886,0.515173,0.190021,0.051189,0.000869,0.000000,0.000000,0.014173,Bart
